customer,industry,mrr_usd,signup_date,account_owner
Lumen Robotics,Robotics,12500,2022-08-15,Robert Hale
Halcyon Bank,Financial Services,18750,2023-04-02,Anika Falk
Ember Mobility,Automotive,9200,2024-01-22,Wei Zhang
Pinetop Studios,Media,7400,2023-11-09,Robert Hale
Northwind Pharma,Healthcare,21100,2022-06-30,Anika Falk
Vellum Labs,Biotech,5800,2025-03-18,Wei Zhang
Aerolith Aviation,Aerospace,15300,2024-07-12,Robert Hale
Quartzline Energy,Energy,11200,2023-09-25,Anika Falk
Beacon Retail,Retail,4900,2025-05-04,Wei Zhang
Driftwood Insurance,Insurance,13600,2023-02-14,Anika Falk
Sunpeak Logistics,Logistics,8700,2024-10-08,Robert Hale
Cobalt Networks,Telecommunications,16400,2022-12-19,Wei Zhang
